site,tracktography,rec_model,parcellation,norm,features,PACC_mean,PACC_std,gender_eval_accuracy_std,gender_eval_accuracy_mean,icc_std,icc_max,icc_mean,icc_median
HNU_1,proba,csd,aparc150+subcort,no_norm,eigenvector_centrality,0.99162962963,0.00385327608997,0.13824294235600001,0.41333333333300004,0.0913075971599,0.9501,0.819758108108,0.8408
HNU_1,proba,csd,aparc150+subcort,no_norm,pagerank,0.9934074074070001,0.00287269917477,0.130149059842,0.38299999999999995,0.103844548255,0.9874,0.866549324324,0.89215
HNU_1,proba,csd,aparc150+subcort,no_norm,efficiency,0.968111111111,0.00648190474808,0.11219477112,0.727,0.0844306055578,0.9799,0.900297297297,0.9233
HNU_1,proba,csd,aparc150+subcort,no_norm,clustering_coefficient,0.9295185185189999,0.0086733908704,0.136970799808,0.41633333333300004,0.10622773462400001,0.9466,0.768664864865,0.7944
HNU_1,proba,csd,aparc150+subcort,no_norm,triangles,0.970518518519,0.00688769404214,0.134140887793,0.47200000000000003,0.0902409351105,0.9705,0.860810810811,0.8845
BNU_1,deter,csd,scale33,binar,bag_of_edges,0.807,0.0741687265632,0.11551623262599998,0.684,0.177733525807,1.0,0.107008695652,0.0
BNU_1,deter,csd,scale33,binar,degrees,0.892,0.0650845603811,0.0955248658727,0.675,0.163923290409,0.8362,0.470047058824,0.5015
BNU_1,deter,csd,scale33,binar,closeness_centrality,0.9129999999999999,0.059841457201500005,0.103942291681,0.664,0.164891437829,0.8502,0.470957352941,0.49045
BNU_1,deter,csd,scale33,binar,betweenness_centrality,0.732,0.0909725233244,0.114455231423,0.59,0.163599935828,0.7741,0.409533823529,0.406
BNU_1,deter,csd,scale33,binar,eigenvector_centrality,0.889,0.057697486947,0.104517941044,0.6759999999999999,0.179920222493,0.8397,0.451097058824,0.4837
BNU_1,deter,csd,scale33,binar,pagerank,0.883,0.0621369455316,0.104599235179,0.647,0.157097987186,0.8376,0.448835294118,0.47215
BNU_1,deter,csd,scale33,binar,efficiency,0.894,0.0652993108693,0.0968297474953,0.6679999999999999,0.164065804503,0.8361,0.47003676470600003,0.50205
BNU_1,deter,csd,scale33,binar,clustering_coefficient,0.6629999999999999,0.124823875921,0.107777548682,0.578,0.135317878732,0.7667,0.507458823529,0.51845
BNU_1,deter,csd,scale33,binar,triangles,0.915,0.059371710435199995,0.12458330546299999,0.6729999999999999,0.13139211268200002,0.8449,0.544808823529,0.57405
BNU_1,deter,csd,scale33,mean,bag_of_edges,0.871,0.07555792479949999,0.118389188696,0.578,0.285980446772,0.9784,0.444617083882,0.4539
BNU_1,deter,csd,scale33,mean,degrees,0.87,0.0574456264654,0.1037111373,0.612,0.12067661857,0.9824,0.799142647059,0.8329
BNU_1,deter,csd,scale33,mean,closeness_centrality,0.903,0.0611637147335,0.127236001195,0.7190000000000001,0.0723628014563,0.9468,0.7755764705879999,0.7827
BNU_1,deter,csd,scale33,mean,betweenness_centrality,0.5479999999999999,0.0999799979996,0.126111062163,0.564,0.259906432996,0.9999,0.554968253968,0.6566
BNU_1,deter,csd,scale33,mean,eigenvector_centrality,0.889,0.057697486947,0.138,0.6659999999999999,0.129739822382,0.9728,0.759789705882,0.77635
BNU_1,deter,csd,scale33,mean,pagerank,0.883,0.0621369455316,0.120648249055,0.612,0.117750585699,0.9805,0.798252941176,0.8189
BNU_1,deter,csd,scale33,mean,efficiency,0.871,0.0781600921187,0.133135269557,0.565,0.0833619621296,0.9737,0.824494117647,0.8306
BNU_1,deter,csd,scale33,mean,clustering_coefficient,0.6629999999999999,0.124823875921,0.12300000000000001,0.6890000000000001,0.15778027722899998,0.8913,0.6506,0.6847
BNU_1,deter,csd,scale33,mean,triangles,0.915,0.059371710435199995,0.103923048454,0.69,0.115626288527,0.9635,0.726658823529,0.73555
BNU_1,deter,csd,scale33,no_norm,bag_of_edges,0.871,0.07555792479949999,0.10336343647500001,0.754,0.286886741349,0.9796,0.451767457181,0.4601
BNU_1,deter,csd,scale33,no_norm,degrees,0.87,0.0574456264654,0.119431989015,0.7559999999999999,0.118100382159,0.9847,0.817786764706,0.8609
BNU_1,deter,csd,scale33,no_norm,closeness_centrality,0.903,0.0611637147335,0.11855800268200001,0.7120000000000001,0.066762800747,0.9549,0.761257352941,0.76305
BNU_1,deter,csd,scale33,no_norm,betweenness_centrality,0.5479999999999999,0.0999799979996,0.126111062163,0.564,0.259906432996,0.9999,0.554968253968,0.6566
BNU_1,deter,csd,scale33,no_norm,eigenvector_centrality,0.889,0.057697486947,0.138,0.6659999999999999,0.129739822382,0.9728,0.759789705882,0.77635
BNU_1,deter,csd,scale33,no_norm,pagerank,0.883,0.0621369455316,0.120648249055,0.612,0.117750585699,0.9805,0.798252941176,0.8189
BNU_1,deter,csd,scale33,no_norm,efficiency,0.871,0.0781600921187,0.1107655181,0.809,0.078059107271,0.9803,0.861125,0.88775
BNU_1,deter,csd,scale33,no_norm,clustering_coefficient,0.6629999999999999,0.124823875921,0.12300000000000001,0.6890000000000001,0.15778027722899998,0.8913,0.6506,0.6847
BNU_1,deter,csd,scale33,no_norm,triangles,0.915,0.059371710435199995,0.103923048454,0.69,0.115626288527,0.9635,0.726658823529,0.73555
IPCAS_1,proba,csd,scale250,binar,bag_of_edges,1.0,0.0,0.024663018120499997,0.7345454545450001,0.260107295507,1.0,0.227052656085,0.2155
IPCAS_1,proba,csd,scale250,binar,degrees,1.0,0.0,0.08026814565330001,0.82,0.0995030531937,0.9796,0.81954375,0.83195
IPCAS_1,proba,csd,scale250,binar,closeness_centrality,0.7981818181820001,0.11683144600999999,0.0813115628182,0.909090909091,0.0580432537681,0.5925,0.379271651786,0.3737
IPCAS_1,proba,csd,scale250,binar,betweenness_centrality,0.472727272727,0.0749655568294,0.0552978411845,0.7181818181820001,0.32833637626999995,1.0,0.344425,0.4779
IPCAS_1,proba,csd,scale250,binar,eigenvector_centrality,1.0,0.0,0.0895350709254,0.9,0.0963334377381,0.9828,0.8200011160709999,0.82985
IPCAS_1,proba,csd,scale250,binar,pagerank,1.0,0.0,0.0862247687373,0.9109090909090001,0.103785584944,0.9814,0.819915401786,0.83865
IPCAS_1,proba,csd,scale250,binar,efficiency,1.0,0.0,0.08862587350510001,0.850909090909,0.100411573935,0.9886,0.8151421875,0.82965
IPCAS_1,proba,csd,scale250,binar,clustering_coefficient,0.981818181818,0.0445361771415,0.109469041625,0.845454545455,0.18525382822,0.9894,0.7343745535709999,0.7727
IPCAS_1,proba,csd,scale250,binar,triangles,1.0,0.0,0.08736737292169999,0.870909090909,0.09728400759919999,0.9695,0.820658928571,0.83745
IPCAS_1,proba,csd,scale250,max,bag_of_edges,1.0,0.0,0.0181818181818,0.7272727272730001,0.32597021020399997,1.0,0.4858359563600001,0.5501
IPCAS_1,proba,csd,scale250,max,degrees,1.0,0.0,0.112448335244,0.9181818181820001,0.0682504462504,0.9818,0.886154910714,0.9011
IPCAS_1,proba,csd,scale250,max,closeness_centrality,0.7981818181820001,0.11683144600999999,0.08936876892689999,0.869090909091,0.0714587845463,0.9196,0.677792410714,0.6834
IPCAS_1,proba,csd,scale250,max,betweenness_centrality,0.472727272727,0.0749655568294,0.11749450488299999,0.694545454545,0.32878947765,1.0,0.34638080357100004,0.4779
IPCAS_1,proba,csd,scale250,max,eigenvector_centrality,1.0,0.0,0.10794856442800001,0.881818181818,0.10822943779300001,0.9838,0.831264955357,0.85595
IPCAS_1,proba,csd,scale250,max,pagerank,1.0,0.0,0.09357897623610001,0.9109090909090001,0.080408131033,0.9899,0.887947098214,0.90245
IPCAS_1,proba,csd,scale250,max,efficiency,1.0,0.0,0.0928697657391,0.870909090909,0.040357673037000004,0.9647,0.883903571429,0.88935
IPCAS_1,proba,csd,scale250,max,clustering_coefficient,0.981818181818,0.0445361771415,0.0817373337927,0.769090909091,0.07757603236310001,0.9573,0.8185178571430001,0.8314
IPCAS_1,proba,csd,scale250,max,triangles,1.0,0.0,0.11113241301799999,0.894545454545,0.0748449837996,0.9862,0.876359821429,0.89135
IPCAS_1,proba,csd,scale250,mean,bag_of_edges,0.9963636363639999,0.017814470856599998,0.0,0.7272727272730001,0.326347840646,1.0,0.492867243955,0.5585
IPCAS_1,proba,csd,scale250,mean,degrees,1.0,0.0,0.0959338615147,0.916363636364,0.07764622096780001,0.9917,0.89140625,0.90695
IPCAS_1,proba,csd,scale250,mean,closeness_centrality,0.8472727272730001,0.131664487202,0.10933306457,0.8581818181820001,0.101181596146,0.875,0.511873214286,0.5127
IPCAS_1,proba,csd,scale250,mean,betweenness_centrality,0.472727272727,0.0749655568294,0.11749450488299999,0.694545454545,0.32878947765,1.0,0.34638080357100004,0.4779
IPCAS_1,proba,csd,scale250,mean,eigenvector_centrality,1.0,0.0,0.10794856442800001,0.881818181818,0.10822943779300001,0.9838,0.831264955357,0.85595
IPCAS_1,proba,csd,scale250,mean,pagerank,1.0,0.0,0.09357897623610001,0.9109090909090001,0.080408131033,0.9899,0.887947098214,0.90245
IPCAS_1,proba,csd,scale250,mean,efficiency,0.976363636364,0.047447230366199994,0.08098566345930001,0.825454545455,0.063325241181,0.9853,0.893326116071,0.90725
IPCAS_1,proba,csd,scale250,mean,clustering_coefficient,0.981818181818,0.0445361771415,0.0817979773033,0.7709090909090001,0.07757603236310001,0.9573,0.8185178571430001,0.8314
IPCAS_1,proba,csd,scale250,mean,triangles,1.0,0.0,0.11113241301799999,0.894545454545,0.0748449837996,0.9862,0.876359821429,0.89135
IPCAS_1,proba,csd,scale250,no_norm,bag_of_edges,0.9963636363639999,0.017814470856599998,0.0926381032935,0.814545454545,0.32656713655499997,1.0,0.496926828751,0.5641
IPCAS_1,proba,csd,scale250,no_norm,degrees,1.0,0.0,0.0910725802645,0.947272727273,0.0747531322421,0.9918,0.892801116071,0.9079999999999999
IPCAS_1,proba,csd,scale250,no_norm,closeness_centrality,0.8472727272730001,0.131664487202,0.08428601444730001,0.907272727273,0.09259810084450001,0.8394,0.540041741071,0.5408
IPCAS_1,proba,csd,scale250,no_norm,betweenness_centrality,0.472727272727,0.0749655568294,0.11749450488299999,0.694545454545,0.32878947765,1.0,0.34638080357100004,0.4779
IPCAS_1,proba,csd,scale250,no_norm,eigenvector_centrality,1.0,0.0,0.10794856442800001,0.881818181818,0.10822943779300001,0.9838,0.831264955357,0.85595
IPCAS_1,proba,csd,scale250,no_norm,pagerank,1.0,0.0,0.09357897623610001,0.9109090909090001,0.080408131033,0.9899,0.887947098214,0.90245
IPCAS_1,proba,csd,scale250,no_norm,efficiency,0.976363636364,0.047447230366199994,0.111429479608,0.887272727273,0.06093893159580001,0.9829,0.8947912946430001,0.9096
IPCAS_1,proba,csd,scale250,no_norm,clustering_coefficient,0.981818181818,0.0445361771415,0.0817373337927,0.769090909091,0.07757603236310001,0.9573,0.8185178571430001,0.8314
IPCAS_1,proba,csd,scale250,no_norm,triangles,1.0,0.0,0.11113241301799999,0.894545454545,0.0748449837996,0.9862,0.876359821429,0.89135
IPCAS_1,proba,csa,scale250,binar,bag_of_edges,0.916363636364,0.108848214888,0.025454545454500002,0.723636363636,0.249168438239,1.0,0.152111861424,0.0192
IPCAS_1,proba,csa,scale250,binar,degrees,1.0,0.0,0.0750536997838,0.7927272727269999,0.112190798136,0.9571,0.7993180803569999,0.82145
IPCAS_1,proba,csa,scale250,binar,closeness_centrality,0.778181818182,0.112315965174,0.0945454545455,0.883636363636,0.020709780219999998,0.7226,0.656943080357,0.65565
IPCAS_1,proba,csa,scale250,binar,betweenness_centrality,0.49818181818199997,0.0895166081825,0.0,0.7272727272730001,0.235736146741,1.0,0.555396428571,0.6486
IPCAS_1,proba,csa,scale250,binar,eigenvector_centrality,0.989090909091,0.029541957835,0.08349790911419999,0.870909090909,0.122354874924,0.9565,0.7787196428569999,0.8068
IPCAS_1,proba,csa,scale250,binar,pagerank,0.998181818182,0.0127272727273,0.065074655157,0.794545454545,0.128736399903,0.9581,0.773914508929,0.8065
IPCAS_1,proba,csa,scale250,binar,efficiency,0.985454545455,0.04209395237380001,0.07807603837669999,0.789090909091,0.117308100493,0.9828,0.7889828125,0.81205
IPCAS_1,proba,csa,scale250,binar,clustering_coefficient,0.981818181818,0.0445361771415,0.09334907383999999,0.923636363636,0.21242008459199999,0.941,0.636537276786,0.68115
IPCAS_1,proba,csa,scale250,binar,triangles,0.9781818181820001,0.038825739098300005,0.0829417798397,0.794545454545,0.10462130746099998,0.9561,0.822860267857,0.84595
IPCAS_1,proba,csa,scale250,max,bag_of_edges,0.916363636364,0.108848214888,0.022193737483200002,0.7290909090909999,0.361646008207,1.0,0.34572789540700005,0.3054
IPCAS_1,proba,csa,scale250,max,degrees,1.0,0.0,0.08529966622360001,0.9218181818179999,0.0645212648471,0.9833,0.906440625,0.9218
IPCAS_1,proba,csa,scale250,max,closeness_centrality,0.778181818182,0.112315965174,0.0895350709254,0.845454545455,0.038799671643500004,0.9051,0.738324330357,0.7358
IPCAS_1,proba,csa,scale250,max,betweenness_centrality,0.49818181818199997,0.0895166081825,0.0575246982529,0.7145454545450001,0.236030484914,1.0,0.557621428571,0.6486
IPCAS_1,proba,csa,scale250,max,eigenvector_centrality,0.989090909091,0.029541957835,0.0,0.7272727272730001,0.157899778479,0.9942,0.812425892857,0.86895
IPCAS_1,proba,csa,scale250,max,pagerank,0.998181818182,0.0127272727273,0.0986520724818,0.8472727272730001,0.0770149967999,0.9883,0.901850223214,0.9182
IPCAS_1,proba,csa,scale250,max,efficiency,0.985454545455,0.04209395237380001,0.103508693291,0.914545454545,0.038216054181800005,0.9790000000000001,0.9075203125,0.9136
IPCAS_1,proba,csa,scale250,max,clustering_coefficient,0.981818181818,0.0445361771415,0.0868931137844,0.825454545455,0.11809727802200001,0.9316,0.7556453125,0.7846
IPCAS_1,proba,csa,scale250,max,triangles,0.9781818181820001,0.038825739098300005,0.0940546702282,0.8763636363639999,0.07430246325569999,0.9822,0.8956069196430001,0.9129999999999999
IPCAS_1,proba,csa,scale250,mean,bag_of_edges,0.983636363636,0.0393752869595,0.0385265820008,0.7290909090909999,0.36237948891800004,1.0,0.347846544737,0.3089
IPCAS_1,proba,csa,scale250,mean,degrees,0.9963636363639999,0.017814470856599998,0.0813928337658,0.934545454545,0.0777990542535,0.99,0.9065319196430001,0.92315
IPCAS_1,proba,csa,scale250,mean,closeness_centrality,0.8345454545450001,0.103954853519,0.101623189909,0.861818181818,0.048138780475900006,0.8738,0.6718513392859999,0.6659999999999999
IPCAS_1,proba,csa,scale250,mean,betweenness_centrality,0.49818181818199997,0.0895166081825,0.0575246982529,0.7145454545450001,0.236030484914,1.0,0.557621428571,0.6486
IPCAS_1,proba,csa,scale250,mean,eigenvector_centrality,0.989090909091,0.029541957835,0.0,0.7272727272730001,0.157899778479,0.9942,0.812425892857,0.86895
IPCAS_1,proba,csa,scale250,mean,pagerank,0.998181818182,0.0127272727273,0.0986520724818,0.8472727272730001,0.0770149967999,0.9883,0.901850223214,0.9182
IPCAS_1,proba,csa,scale250,mean,efficiency,0.981818181818,0.0406557814091,0.0762986736668,0.787272727273,0.0682218369917,0.9925,0.9006305803569999,0.9143
IPCAS_1,proba,csa,scale250,mean,clustering_coefficient,0.981818181818,0.0445361771415,0.0868931137844,0.825454545455,0.11809727802200001,0.9316,0.7556453125,0.7846
IPCAS_1,proba,csa,scale250,mean,triangles,0.9781818181820001,0.038825739098300005,0.0940546702282,0.8763636363639999,0.07430246325569999,0.9822,0.8956069196430001,0.9129999999999999
IPCAS_1,proba,csa,scale250,no_norm,bag_of_edges,0.983636363636,0.0393752869595,0.09510324967730001,0.832727272727,0.362318090441,1.0,0.34864739296499997,0.31545
IPCAS_1,proba,csa,scale250,no_norm,degrees,0.9963636363639999,0.017814470856599998,0.0878766979898,0.923636363636,0.06888008073539999,0.9882,0.9081734375,0.92395
IPCAS_1,proba,csa,scale250,no_norm,closeness_centrality,0.8345454545450001,0.103954853519,0.0813928337658,0.934545454545,0.0416168396024,0.894,0.7243366071430001,0.71905
IPCAS_1,proba,csa,scale250,no_norm,betweenness_centrality,0.49818181818199997,0.0895166081825,0.0575246982529,0.7145454545450001,0.236030484914,1.0,0.557621428571,0.6486
IPCAS_1,proba,csa,scale250,no_norm,eigenvector_centrality,0.989090909091,0.029541957835,0.0,0.7272727272730001,0.157899778479,0.9942,0.812425892857,0.86895
IPCAS_1,proba,csa,scale250,no_norm,pagerank,0.998181818182,0.0127272727273,0.0986520724818,0.8472727272730001,0.0770149967999,0.9883,0.901850223214,0.9182
IPCAS_1,proba,csa,scale250,no_norm,efficiency,0.981818181818,0.0406557814091,0.0769028581184,0.943636363636,0.052506314138,0.9884,0.901719196429,0.9111
IPCAS_1,proba,csa,scale250,no_norm,clustering_coefficient,0.981818181818,0.0445361771415,0.0868931137844,0.825454545455,0.11809727802200001,0.9316,0.7556453125,0.7846
IPCAS_1,proba,csa,scale250,no_norm,triangles,0.9781818181820001,0.038825739098300005,0.0940546702282,0.8763636363639999,0.07430246325569999,0.9822,0.8956069196430001,0.9129999999999999
IPCAS_1,deter,dti,scale60,binar,bag_of_edges,0.9690909090909999,0.0533505481859,0.022193737483200002,0.7290909090909999,0.297312569038,1.0,0.30595397164500004,0.3223
IPCAS_1,deter,dti,scale60,binar,degrees,0.9945454545450001,0.0215897128855,0.09491187735369999,0.827272727273,0.147745422235,0.8825,0.642025438596,0.65235
IPCAS_1,deter,dti,scale60,binar,closeness_centrality,0.823636363636,0.09860179536699999,0.0557740423643,0.721818181818,0.127944651115,0.475,0.175710526316,0.174
IPCAS_1,deter,dti,scale60,binar,betweenness_centrality,0.44,0.033327823236,0.07274999644999999,0.74,0.14828780326899998,0.7345,0.04225877192980001,0.0
IPCAS_1,deter,dti,scale60,binar,eigenvector_centrality,0.9618181818179999,0.0484128252934,0.0762986736668,0.787272727273,0.142505582823,0.8976,0.624778947368,0.6289
IPCAS_1,deter,dti,scale60,binar,pagerank,0.998181818182,0.0127272727273,0.07079244485069999,0.778181818182,0.154310270282,0.8841,0.6267517543860001,0.64105
IPCAS_1,deter,dti,scale60,binar,efficiency,0.98,0.0376587548677,0.100181653192,0.832727272727,0.144334859803,0.865,0.6412,0.6555
IPCAS_1,deter,dti,scale60,binar,clustering_coefficient,0.989090909091,0.029541957835,0.10072464716,0.8018181818179999,0.174170423073,0.866,0.5634219298250001,0.58185
IPCAS_1,deter,dti,scale60,binar,triangles,0.914545454545,0.0821407781678,0.07968948000289999,0.769090909091,0.157132708731,0.8889,0.631278947368,0.63365
IPCAS_1,deter,dti,scale60,max,bag_of_edges,0.9690909090909999,0.0533505481859,0.0,0.7272727272730001,0.356595457456,1.0,0.38244671428599997,0.3605
IPCAS_1,deter,dti,scale60,max,degrees,0.9945454545450001,0.0215897128855,0.08529966622360001,0.830909090909,0.11466142663699999,0.9520000000000001,0.799228947368,0.82635
IPCAS_1,deter,dti,scale60,max,closeness_centrality,0.823636363636,0.09860179536699999,0.0,0.7272727272730001,0.170323673827,0.8386,0.444543859649,0.44765
IPCAS_1,deter,dti,scale60,max,betweenness_centrality,0.44,0.033327823236,0.0,0.7272727272730001,0.202074860981,0.865,0.06525877192980001,0.0
IPCAS_1,deter,dti,scale60,max,eigenvector_centrality,0.9618181818179999,0.0484128252934,0.104446593573,0.836363636364,0.184129867289,0.9747,0.723278070175,0.78005
IPCAS_1,deter,dti,scale60,max,pagerank,0.998181818182,0.0127272727273,0.07925270806439999,0.8181818181820001,0.10988228204099999,0.9685,0.814033333333,0.841
IPCAS_1,deter,dti,scale60,max,efficiency,0.98,0.0376587548677,0.0644365278061,0.796363636364,0.09794350082389999,0.9481,0.7915315789470001,0.8121
IPCAS_1,deter,dti,scale60,max,clustering_coefficient,0.989090909091,0.029541957835,0.0793360881064,0.7927272727269999,0.165177356813,0.8528,0.563997368421,0.5812
IPCAS_1,deter,dti,scale60,max,triangles,0.914545454545,0.0821407781678,0.08936876892689999,0.8581818181820001,0.123913454704,0.9429,0.781936842105,0.81185
IPCAS_1,deter,dti,scale60,mean,bag_of_edges,0.9672727272730001,0.0538132675889,0.047272727272699995,0.76,0.356378432154,1.0,0.382278392857,0.35275
IPCAS_1,deter,dti,scale60,mean,degrees,0.998181818182,0.0127272727273,0.0770531640015,0.8218181818179999,0.112905822276,0.9684,0.8025254385959999,0.8270000000000001
IPCAS_1,deter,dti,scale60,mean,closeness_centrality,0.809090909091,0.0876695523727,0.0989364935303,0.8490909090909999,0.214444721497,0.8226,0.279642105263,0.2853
IPCAS_1,deter,dti,scale60,mean,betweenness_centrality,0.44,0.033327823236,0.0,0.7272727272730001,0.202074860981,0.865,0.06525877192980001,0.0
IPCAS_1,deter,dti,scale60,mean,eigenvector_centrality,0.9618181818179999,0.0484128252934,0.104446593573,0.836363636364,0.184129867289,0.9747,0.723278070175,0.78005
IPCAS_1,deter,dti,scale60,mean,pagerank,0.998181818182,0.0127272727273,0.07925270806439999,0.8181818181820001,0.10988228204099999,0.9685,0.814033333333,0.841
IPCAS_1,deter,dti,scale60,mean,efficiency,0.8381818181820001,0.11823774900299999,0.0830015433492,0.825454545455,0.09706066482460002,0.9409,0.7977543859649999,0.81235
IPCAS_1,deter,dti,scale60,mean,clustering_coefficient,0.989090909091,0.029541957835,0.0793360881064,0.7927272727269999,0.165177356813,0.8528,0.563997368421,0.5812
IPCAS_1,deter,dti,scale60,mean,triangles,0.914545454545,0.0821407781678,0.08936876892689999,0.8581818181820001,0.123913454704,0.9429,0.781936842105,0.81185
IPCAS_1,deter,dti,scale60,no_norm,bag_of_edges,0.9672727272730001,0.0538132675889,0.022193737483200002,0.725454545455,0.35788661203,1.0,0.384658732143,0.35895
IPCAS_1,deter,dti,scale60,no_norm,degrees,0.998181818182,0.0127272727273,0.0845796607245,0.8290909090909999,0.116070901073,0.9653,0.806085087719,0.8363
IPCAS_1,deter,dti,scale60,no_norm,closeness_centrality,0.809090909091,0.0876695523727,0.11360363165,0.843636363636,0.14850515696,0.8275,0.410589473684,0.37285
IPCAS_1,deter,dti,scale60,no_norm,betweenness_centrality,0.44,0.033327823236,0.0,0.7272727272730001,0.202074860981,0.865,0.06525877192980001,0.0
