5771	0	1154	0	4	0	50	1890	980	100	286	284	31	45	3776	2	1	693	18	137	28	120	46	1254	99	6	342	30	318	3801	2895	0	2	76	848	15	13	207	0	21	0	0	156	3	167	0	15	0	17	17	0	6	144	0	0	1	12	21	200	130	5	15	15	169	11	77	1	0	0	25	36	119	582	32	7	0	3	17	11	29	5	6	6	0
0	6427	228	0	1	0	1	10	2	805	9	60	2	207	5	4	112	260	2	209	2	28	1704	56	513	387	1753	3842	43	18	10	0	0	4	119	0	3406	229	0	11	0	5	5	0	9	4	173	10	128	7	1	40	71	5	52	4	1	203	80	72	152	567	2910	44	1	0	11	0	0	64	935	807	99	5	4	0	6	274	49	78	31	16	2	3
1154	228	10183	0	0	0	26	471	301	51	23	111	2	6	1194	3	69	2387	6	66	5	96	688	3466	211	4	1244	3096	346	1158	1294	0	6	7	265	12	418	2776	0	5	0	16	50	40	30	14	39	5	5	40	2	118	805	8	24	3	118	1236	1777	130	3	778	1119	143	12	37	0	0	0	38	410	132	265	71	3	0	2	167	43	51	37	35	7	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	0	0	4806	0	63	168	36	578	438	19	972	0	23	15	0	1	3	9	1558	0	5	7	2400	0	5	11	1283	59	0	0	1	0	100	1	2	1	0	1822	0	197	13	149	311	413	77	520	31	138	5	7	0	6	7	1372	0	6	3	872	2	37	16	170	105	0	7	13	0	110	55	2	68	15	6	3	0	20	4	71	5	5	19	0
0	0	0	0	0	872	397	9	194	8	2	0	2	1	15	260	0	0	0	0	0	0	0	0	3	0	0	0	1	33	0	0	182	0	37	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	1	2	0	2	0	275	278	1	0	0	1	0	0	0	1
50	1	26	0	63	397	8208	1227	3205	227	3170	174	1890	9	907	1044	7	12	18	41	273	0	7	37	262	0	41	15	626	1055	7	0	269	30	375	1	2	4	0	25	0	24	25	22	47	6	21	45	12	16	2	0	3	0	0	9	0	3	7	163	0	10	5	49	24	0	0	0	0	40	332	72	428	78	754	203	3	1	0	34	0	7	4	0
1890	10	471	0	168	9	1227	17382	2960	852	4385	490	103	38	5181	129	36	131	95	479	81	714	84	772	1603	9	338	176	6962	4636	2137	0	47	1086	1823	9	21	84	0	513	0	36	169	57	1238	27	54	61	29	47	3	2	34	6	8	27	5	26	101	1714	3	38	28	314	69	26	4	6	0	102	1799	211	1567	317	125	6	15	32	12	142	19	16	54	0
980	2	301	0	36	194	3205	2960	10317	351	2225	120	238	45	5485	417	19	162	13	100	90	174	40	318	282	7	112	41	854	1820	655	2	121	126	666	10	2	83	0	47	0	177	161	215	259	40	42	179	23	141	0	7	68	2	4	68	6	8	103	401	2	19	8	212	109	51	0	75	0	279	329	79	365	513	310	609	11	45	15	459	47	55	197	44
100	805	51	0	578	8	227	852	351	8835	546	39	282	100	386	401	317	55	3	48	96	39	1340	48	4289	211	245	507	1728	441	340	0	17	164	612	8	70	16	0	1327	3	167	205	151	3649	196	122	670	92	97	48	17	0	4	6	754	11	50	33	3005	10	86	66	2535	137	66	24	14	0	211	704	167	201	54	534	19	5	71	4	260	12	93	34	0
