6920	1	198	0	8	15	181	2436	2797	32	903	696	272	5	4052	26	126	82	194	695	415	70	66	740	165	3	401	40	714	4802	3564	0	56	273	2212	14	0	56	0	7	0	8	44	18	103	51	18	21	1	41	0	7	3	0	0	34	38	8	36	154	1	14	44	34	8	4	0	0	0	33	213	86	1132	224	222	64	2	86	14	32	20	7	0	0
1	5991	217	0	0	0	0	0	0	591	0	3	0	66	1	0	216	65	2	9	0	17	1369	91	575	525	731	5115	10	2	15	1	0	0	30	1	2655	226	0	0	0	0	20	4	41	3	4	0	4	3	0	46	49	0	15	0	8	297	12	38	77	77	3128	24	1	2	1	0	0	45	127	94	45	17	1	0	0	205	159	52	5	0	0	0
198	217	10059	0	0	0	2	169	142	0	2	39	2	3	74	0	181	2036	6	101	2	535	35	4307	115	0	1896	3035	201	89	639	0	2	10	105	18	245	1965	0	1	0	0	18	4	55	6	4	1	0	16	0	644	279	1	6	2	98	812	1308	204	1	419	2429	57	14	10	0	0	0	25	918	213	146	28	6	7	3	173	54	125	30	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	4114	0	43	92	10	48	244	14	468	0	11	15	0	0	14	41	800	0	0	0	979	0	29	0	1672	20	0	0	1	1	58	0	0	0	0	1743	0	20	2	36	527	387	15	324	1	12	1	0	0	0	0	1447	0	0	0	677	0	2	0	322	29	0	1	0	0	53	22	0	17	9	49	9	0	33	1	45	4	39	2	0
15	0	0	0	0	991	651	91	559	0	64	2	0	16	237	126	1	0	3	2	0	0	1	9	2	0	3	1	6	89	20	0	462	6	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	11	12	125	172	0	1	0	1	0	0	0	0
181	0	2	0	43	651	9377	1422	4090	20	2283	535	2667	42	1973	346	8	1	310	315	1452	13	2	35	80	13	282	20	616	2023	308	0	1036	140	1212	1	0	1	0	6	0	2	3	10	6	22	12	2	14	3	0	0	0	0	0	25	0	0	1	29	2	2	0	4	1	1	0	0	0	11	212	21	361	185	407	322	10	40	9	18	6	1	0	3
2436	0	169	0	92	91	1422	12682	2247	62	2306	439	43	6	2386	111	20	256	111	710	93	454	1	853	210	2	426	26	4928	4193	3236	0	297	2113	3034	33	0	36	0	364	0	67	151	92	847	484	14	135	2	73	2	91	17	4	4	590	12	114	38	1359	0	19	10	450	109	15	1	0	0	59	606	47	2087	778	141	345	8	472	16	67	34	56	0	1
2797	0	142	0	10	559	4090	2247	10463	7	1422	214	343	88	4987	129	107	34	70	156	193	65	56	575	110	23	157	44	810	3739	2191	0	1226	243	1676	9	0	34	0	16	0	18	26	34	43	89	42	12	19	24	0	8	2	0	0	85	20	6	27	132	12	11	26	25	5	3	0	0	0	29	367	46	1055	381	304	376	18	62	11	83	47	8	0	3
32	591	0	0	48	0	20	62	7	3314	7	1	171	15	36	133	215	3	0	9	29	8	1439	18	1296	296	91	411	951	123	199	0	0	121	269	167	7	0	0	104	0	5	340	138	1545	60	9	1	1	293	0	35	3	1	1	79	48	78	4	990	0	3	14	211	156	19	1	1	3	81	75	3	114	17	267	4	0	122	58	32	13	13	0	1
903	0	2	0	244	64	2283	2306	1422	7	8853	473	1368	7	1199	9	3	164	162	506	1776	4	0	10	104	2	340	5	2089	1511	76	0	110	404	1810	0	0	0	0	448	0	26	3	3	163	294	2	34	1	4	0	0	0	1	0	744	0	1	0	788	0	0	0	129	0	0	0	0	0	3	458	38	918	435	32	205	8	160	6	7	4	0	0	2
696	3	39	0	14	2	535	439	214	1	473	7994	947	1865	639	16	9	199	1471	1815	1004	30	5	47	35	1202	2459	593	123	1709	75	292	27	162	3301	1	90	4	0	3	0	2	31	5	9	8	337	0	1221	3	1	0	0	1	5	6	0	4	3	14	274	82	142	30	2	0	79	0	0	32	470	707	890	99	22	13	109	123	661	68	16	0	0	200
