9588	34	795	0	104	25	780	4974	3644	324	589	129	46	30	5297	17	25	613	25	151	42	644	57	1043	576	2	530	415	1519	2733	1735	20	26	84	1475	3	46	28	0	16	0	3	23	3	185	7	2	5	4	10	1	21	3	0	5	3	29	73	25	143	8	29	83	96	23	18	0	0	9	31	351	57	965	247	105	74	2	42	20	23	14	1	3	0
34	3114	178	0	1	4	9	48	23	479	4	68	2	85	31	4	77	169	13	52	4	39	560	131	393	213	540	1527	110	26	38	28	0	6	163	1	1017	52	0	1	0	1	4	1	11	1	27	1	36	5	0	7	20	22	114	1	9	33	23	19	145	312	811	15	10	3	1	0	2	24	148	75	160	52	10	6	21	33	54	40	4	1	0	2
795	178	11256	0	5	2	131	1463	501	49	60	84	11	31	566	4	82	2004	28	203	3	871	125	4749	147	3	2950	4145	1083	154	826	22	3	4	925	5	795	400	0	2	0	0	10	2	29	3	14	1	9	8	1	62	126	10	44	0	45	320	203	38	19	224	1174	37	9	10	0	0	1	55	916	204	982	262	49	40	6	72	67	68	20	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	1	5	0	5592	7	281	667	273	100	802	22	753	7	171	31	1	8	1	4	1866	4	3	12	2393	1	15	12	1885	105	2	3	10	2	107	2	2	0	0	829	0	67	10	24	77	270	2	312	1	42	4	2	0	0	0	598	2	2	4	161	3	1	2	197	49	3	0	1	4	33	51	5	140	36	30	16	1	9	2	24	7	4	1	0
25	4	2	0	7	2303	1176	54	536	51	47	29	68	13	90	531	0	5	1	4	19	3	3	4	43	2	11	8	43	70	4	1	562	3	163	0	1	1	0	2	0	1	1	0	4	2	0	0	0	1	0	1	0	0	0	1	2	2	1	7	1	0	3	4	1	0	0	0	0	1	69	5	127	37	341	276	0	1	1	1	0	0	0	0
780	9	131	0	281	1176	15020	3107	8357	134	5372	165	1634	78	1648	742	9	62	13	54	699	87	8	204	432	6	132	102	1685	429	117	20	617	5	695	1	9	7	0	16	0	1	13	3	62	6	1	4	2	3	1	4	0	0	0	6	3	11	3	76	6	5	15	34	9	9	0	0	3	14	381	34	652	111	510	192	4	11	4	14	6	0	0	0
4974	48	1463	0	667	54	3107	21535	5506	878	4060	179	219	48	4436	82	52	817	26	196	250	1409	103	2352	2142	5	747	629	10475	1702	3422	25	66	57	1854	8	79	44	0	120	0	4	64	11	564	67	2	14	3	24	2	38	8	3	5	47	51	123	57	578	9	28	126	290	48	50	0	1	20	74	827	106	1696	539	297	153	8	85	25	64	27	6	0	0
3644	23	501	0	273	536	8357	5506	18584	247	4510	515	617	250	6699	172	26	314	51	167	440	347	28	715	621	6	464	341	2281	1394	455	72	878	30	1852	4	39	19	0	22	0	0	24	3	146	8	2	4	8	14	2	13	2	1	3	6	14	37	16	164	11	21	63	79	24	15	0	1	9	26	609	99	1356	257	535	269	9	37	12	25	9	0	1	0
324	479	49	0	100	51	134	878	247	7614	99	43	373	30	310	293	57	43	5	21	71	98	1163	127	3713	42	66	233	1740	636	438	7	15	48	335	25	37	44	0	225	1	14	198	24	2312	136	5	56	0	86	17	111	16	0	3	101	220	429	146	1376	3	17	72	792	175	212	0	2	78	230	501	48	390	141	404	44	5	263	79	200	74	18	15	4
